1	2		@	0,00000	23,00000	456,00000
2	3		@	5,95284	22,21629	456,00000
3	4		@	11,50000	19,91858	456,00000
4	5		@	16,26346	16,26346	456,00000
5	6		@	19,91858	11,50000	456,00000
6	7		@	22,21629	5,95284	456,00000
7	8		@	23,00000	0,00000	456,00000
8	9		@	22,21629	-5,95284	456,00000
9	10		@	19,91858	-11,50000	456,00000
10	11		@	16,26346	-16,26346	456,00000
11	12		@	11,50000	-19,91858	456,00000
12	13		@	5,95284	-22,21629	456,00000
13	14		@	0,00000	-23,00000	456,00000
14	15		@	-5,95284	-22,21629	456,00000
15	16		@	-11,50000	-19,91858	456,00000
16	17		@	-16,26346	-16,26346	456,00000
17	18		@	-19,91858	-11,50000	456,00000
18	19		@	-22,21629	-5,95284	456,00000
19	20		@	-23,00000	0,00000	456,00000
20	21		@	-22,21629	5,95284	456,00000
21	22		@	-19,91858	11,50000	456,00000
22	23		@	-16,26346	16,26346	456,00000
23	24		@	-11,50000	19,91858	456,00000
24	25		@	-5,95284	22,21629	456,00000
25	1		@	0,00000	23,00000	456,00000
26	27		@	0,00000	23,00000	492,00000
27	28		@	5,95284	22,21629	492,00000
28	29		@	11,50000	19,91858	492,00000
29	30		@	16,26346	16,26346	492,00000
30	31		@	19,91858	11,50000	492,00000
31	32		@	22,21629	5,95284	492,00000
32	33		@	23,00000	0,00000	492,00000
33	34		@	22,21629	-5,95284	492,00000
34	35		@	19,91858	-11,50000	492,00000
35	36		@	16,26346	-16,26346	492,00000
36	37		@	11,50000	-19,91858	492,00000
37	38		@	5,95284	-22,21629	492,00000
38	39		@	0,00000	-23,00000	492,00000
39	40		@	-5,95284	-22,21629	492,00000
40	41		@	-11,50000	-19,91858	492,00000
41	42		@	-16,26346	-16,26346	492,00000
42	43		@	-19,91858	-11,50000	492,00000
43	44		@	-22,21629	-5,95284	492,00000
44	45		@	-23,00000	0,00000	492,00000
45	46		@	-22,21629	5,95284	492,00000
46	47		@	-19,91858	11,50000	492,00000
47	48		@	-16,26346	16,26346	492,00000
48	49		@	-11,50000	19,91858	492,00000
49	50		@	-5,95284	22,21629	492,00000
50	26		@	0,00000	23,00000	492,00000
51	52		@	0,00000	15,00000	456,00000
52	53		@	3,88229	14,48889	456,00000
53	54		@	7,50000	12,99038	456,00000
54	55		@	10,60660	10,60660	456,00000
55	56		@	12,99038	7,50000	456,00000
56	57		@	14,48889	3,88229	456,00000
57	58		@	15,00000	0,00000	456,00000
58	59		@	14,48889	-3,88229	456,00000
59	60		@	12,99038	-7,50000	456,00000
60	61		@	10,60660	-10,60660	456,00000
61	62		@	7,50000	-12,99038	456,00000
62	63		@	3,88229	-14,48889	456,00000
63	64		@	0,00000	-15,00000	456,00000
64	65		@	-3,88229	-14,48889	456,00000
65	66		@	-7,50000	-12,99038	456,00000
66	67		@	-10,60660	-10,60660	456,00000
67	68		@	-12,99038	-7,50000	456,00000
68	69		@	-14,48889	-3,88229	456,00000
69	70		@	-15,00000	0,00000	456,00000
70	71		@	-14,48889	3,88229	456,00000
71	72		@	-12,99038	7,50000	456,00000
72	73		@	-10,60660	10,60660	456,00000
73	74		@	-7,50000	12,99038	456,00000
74	75		@	-3,88229	14,48889	456,00000
75	51		@	0,00000	15,00000	456,00000
76	77		@	0,00000	15,00000	0,00000
77	78		@	3,88229	14,48889	0,00000
78	79		@	7,50000	12,99038	0,00000
79	80		@	10,60660	10,60660	0,00000
80	81		@	12,99038	7,50000	0,00000
81	82		@	14,48889	3,88229	0,00000
82	83		@	15,00000	0,00000	0,00000
83	84		@	14,48889	-3,88229	0,00000
84	85		@	12,99038	-7,50000	0,00000
85	86		@	10,60660	-10,60660	0,00000
86	87		@	7,50000	-12,99038	0,00000
87	88		@	3,88229	-14,48889	0,00000
88	89		@	0,00000	-15,00000	0,00000
89	90		@	-3,88229	-14,48889	0,00000
90	91		@	-7,50000	-12,99038	0,00000
91	92		@	-10,60660	-10,60660	0,00000
92	93		@	-12,99038	-7,50000	0,00000
93	94		@	-14,48889	-3,88229	0,00000
94	95		@	-15,00000	0,00000	0,00000
95	96		@	-14,48889	3,88229	0,00000
96	97		@	-12,99038	7,50000	0,00000
97	98		@	-10,60660	10,60660	0,00000
98	99		@	-7,50000	12,99038	0,00000
99	100		@	-3,88229	14,48889	0,00000
100	76		@	0,00000	15,00000	0,00000
101	102		@	100,00000	100,00000	492,00000
102	103		@	100,00000	-100,00000	492,00000
103	104		@	-35,00000	-100,00000	492,00000
104	101		@	-35,00000	100,00000	492,00000
105	103	106	@	-35,00000	-100,00000	0,00000
106	104		@	-35,00000	100,00000	0,00000
